id,files,locs added,locs removed,locs total,hunks,commit time,author time
e7b8b9b26c2febea532f4e5a97cfdeb1c62e26e4...67eb225ee171dd08421db090a6ab5c319a389357,1,1,1,2,1,2012-01-04 21:49:06,2012-01-04 21:49:06
67eb225ee171dd08421db090a6ab5c319a389357...0edcf9021ece57d68f86e67188f2cb20c5bee473,2,13,7,20,7,2012-01-04 22:42:50,2012-01-04 22:42:50
0edcf9021ece57d68f86e67188f2cb20c5bee473...8e82782499996c374125ab15c7eead7632413b6e,1,1,1,2,1,2012-01-04 22:53:12,2012-01-04 22:53:12
8e82782499996c374125ab15c7eead7632413b6e...b12fbbe9f6810f335e983c317337d5a23bbe59d6,2,1,1,2,1,2012-01-08 19:57:37,2012-01-08 19:57:37
b12fbbe9f6810f335e983c317337d5a23bbe59d6...194a3ac53cee20784c381d342fd7303d6cfb4454,1,11,1,12,2,2012-01-08 20:03:41,2012-01-08 20:03:41
194a3ac53cee20784c381d342fd7303d6cfb4454...50b89cdf2906fef79ec9384a7313198a71ede63d,1,4,4,8,4,2012-01-08 20:13:23,2012-01-08 20:13:23
50b89cdf2906fef79ec9384a7313198a71ede63d...9c08178ad5aca2254007a0c2ea3c23204fedeff0,1,1,1,2,1,2012-01-08 20:17:25,2012-01-08 20:17:25
9c08178ad5aca2254007a0c2ea3c23204fedeff0...938550944a5cf60f5406522905ba8237ec117d74,1,1,1,2,1,2012-01-08 20:26:44,2012-01-08 20:26:44
938550944a5cf60f5406522905ba8237ec117d74...b83b7e6432b1f70e5f285be68a14b466d4f4e22d,1,2,0,2,1,2012-01-08 20:30:08,2012-01-08 20:30:08
b83b7e6432b1f70e5f285be68a14b466d4f4e22d...43b9137dfb5939c2a92bfcd7f094ea7b7c089317,1,1,0,1,1,2012-01-11 11:31:39,2012-01-11 11:31:39
ba1bba11d6ee40854ddddf13c63f58e93a6597dc...bf8a540e757b7f9d0c839e6d9315964c20fc449f,1,2,2,4,1,2012-01-12 16:20:25,2012-01-12 16:20:25
ba1bba11d6ee40854ddddf13c63f58e93a6597dc...a654a873ea56aa83a327048f3223eaa807631652,1,2,0,2,1,2012-01-12 11:22:18,2012-01-12 11:22:18
ba1bba11d6ee40854ddddf13c63f58e93a6597dc...11e5ddc77a7927305f20016cf507791050837aca,1,6,0,6,1,2012-01-12 11:08:21,2012-01-12 11:08:21
185ba4ea767102669a8d92be637510832c49c33c...3b5fd448b1abb9d019ea9f1a23689a01802f5963,1,3,3,6,3,2012-01-12 19:45:54,2012-01-12 19:45:54
3b5fd448b1abb9d019ea9f1a23689a01802f5963...65c456cb47fde46945e793e18c145541d624de3a,1,6,1,7,1,2012-01-12 19:47:42,2012-01-12 19:47:42
65c456cb47fde46945e793e18c145541d624de3a...c5b11276504422322a8da5f8a328a62461e73d19,1,8,0,8,1,2012-01-12 20:06:15,2012-01-12 20:06:15
c5b11276504422322a8da5f8a328a62461e73d19...8cd464a92660b311d9d40894f0b43b2ef191e0a1,1,3,1,4,2,2012-01-12 20:31:18,2012-01-12 20:31:18
8cd464a92660b311d9d40894f0b43b2ef191e0a1...995c47248878e1822f80df723a49b36f17741e87,1,7,15,22,7,2012-01-12 20:50:21,2012-01-12 20:50:21
995c47248878e1822f80df723a49b36f17741e87...27ff4e5818acd2c1b4619176ed3d92171ac3f513,1,13,4,17,5,2012-01-13 08:40:31,2012-01-13 08:40:31
27ff4e5818acd2c1b4619176ed3d92171ac3f513...345423cbc3cc762bf2c17f462b831248d17c0265,1,1,1,2,1,2012-01-13 08:41:10,2012-01-13 08:41:10
345423cbc3cc762bf2c17f462b831248d17c0265...85adb2df0842f32e5c4d89fba402318f554e94c3,1,2,0,2,1,2012-01-16 04:15:03,2012-01-16 04:15:03
345423cbc3cc762bf2c17f462b831248d17c0265...b8808e6ccfeb1b84e79bdf6011a20f953ae20d8b,1,2,0,2,1,2012-01-13 20:11:09,2012-01-13 20:11:09
714d72f20f62b96ab6485da2a1dd52c19383636e...77312163d87bf00a3357f484cef658d84a458c2b,1,1,1,2,1,2012-01-16 10:53:51,2012-01-16 10:53:51
77312163d87bf00a3357f484cef658d84a458c2b...3b61cd86214005c017beb11fbc6818d3a7dcdfc7,1,3,1,4,2,2012-01-16 20:53:07,2012-01-16 20:53:07
3b61cd86214005c017beb11fbc6818d3a7dcdfc7...b649b51f917694db8813bfa0fb8ff7ea9979edbe,1,2,0,2,1,2012-01-17 19:31:54,2012-01-17 19:31:54
6ada2acb1e3479afe08053b2f3688b129d23c078...d2ce96a1f34c84d9745b489129521054e3cdf6ea,1,0,6,6,1,2012-01-17 21:08:45,2012-01-17 21:08:45
d2ce96a1f34c84d9745b489129521054e3cdf6ea...da84694fdb4ddaecb7921f0479f274f2b01ca746,1,20,9,29,5,2012-01-17 21:32:30,2012-01-17 21:32:30
da84694fdb4ddaecb7921f0479f274f2b01ca746...5cc12cdca15de56e3a93c10d884cf9736dbacfc7,1,1,1,2,1,2012-01-17 21:34:22,2012-01-17 21:34:22
5cc12cdca15de56e3a93c10d884cf9736dbacfc7...5ea857e6c2c09783bbe91fa66c4caccd15557c32,1,153,0,153,12,2012-01-17 23:30:11,2012-01-17 23:30:11
5ea857e6c2c09783bbe91fa66c4caccd15557c32...5fc00a1cf637ea9e82f9d4bfc6d89b84addd6b3a,1,10,12,22,6,2012-01-18 11:26:16,2012-01-18 11:26:16
95fdbe2f378b9a9058ed327f77bca9ab99f65c30...2aa72e677486d0e30d0effc4e39a16e0cdff7485,1,2,0,2,1,2012-02-02 21:00:07,2012-02-02 21:00:07
5fc00a1cf637ea9e82f9d4bfc6d89b84addd6b3a...bb0113e5be76fabde364363e2e6a72784b641dfe,1,8,1,9,5,2012-01-20 15:06:23,2012-01-20 15:06:23
