id,num commits,branch files,avg branch files pc,commit files,avg commit files pc,branch locs added, branch locs removed,branch locs total,avg branch locs total pc,commit locs added, commit locs removed,commit locs total,avg commit locs total pc,branch hunks,avg branch hunks pc,commit hunks,avg commit hunks pc,num unique authors,num unique committers,commit start time,commit end time,commit time window,author start time, author end time,author time window
19029d2c1df7198906e806e12cd42dd63459845b...34568182ef64f9bdc1025f25835fbaae18f194c6,1,1,1.0,1,1.0,1,1,2,2.0,1,1,2,2.0,1,1.0,1,1.0,1,1,2012-01-02 20:37:20,2012-01-02 20:37:20,0.0,2012-01-02 20:37:20,2012-01-02 20:37:20,0.0
34568182ef64f9bdc1025f25835fbaae18f194c6...821cf549fc263905b63e21595fd6e86a39a6326c,1,2,2.0,2,2.0,55,2,57,57.0,55,2,57,57.0,5,5.0,5,5.0,1,1,2012-01-02 21:08:50,2012-01-02 21:08:50,0.0,2012-01-02 21:08:50,2012-01-02 21:08:50,0.0
821cf549fc263905b63e21595fd6e86a39a6326c...755edaf60c5908cc828fdd658b95688bc0b6f5e4,1,1,1.0,1,1.0,2,2,4,4.0,2,2,4,4.0,2,2.0,2,2.0,1,1,2012-01-02 21:39:09,2012-01-02 21:39:09,0.0,2012-01-02 21:39:09,2012-01-02 21:39:09,0.0
755edaf60c5908cc828fdd658b95688bc0b6f5e4...88cb10dbd1c7c883757aee4d49cecfa530c08365,1,1,1.0,1,1.0,50,7,57,57.0,50,7,57,57.0,11,11.0,11,11.0,1,1,2012-01-03 22:46:33,2012-01-03 22:46:33,0.0,2012-01-03 22:46:33,2012-01-03 22:46:33,0.0
88cb10dbd1c7c883757aee4d49cecfa530c08365...09a021ec38701ef15cb33c29ecf80dd4025eb7d4,3,2,0.666666666667,2,0.666666666667,55,20,75,25.0,55,20,75,25.0,9,3.0,9,3.0,1,1,2012-01-03 23:04:23,2012-01-04 21:07:52,22.0580555556,2012-01-03 23:04:23,2012-01-04 21:07:52,22.0580555556
09a021ec38701ef15cb33c29ecf80dd4025eb7d4...e7b8b9b26c2febea532f4e5a97cfdeb1c62e26e4,1,1,1.0,1,1.0,5,3,8,8.0,5,3,8,8.0,4,4.0,4,4.0,1,1,2012-01-04 21:42:11,2012-01-04 21:42:11,0.0,2012-01-04 21:42:11,2012-01-04 21:42:11,0.0
e7b8b9b26c2febea532f4e5a97cfdeb1c62e26e4...67eb225ee171dd08421db090a6ab5c319a389357,1,1,1.0,1,1.0,1,1,2,2.0,1,1,2,2.0,1,1.0,1,1.0,1,1,2012-01-04 21:49:06,2012-01-04 21:49:06,0.0,2012-01-04 21:49:06,2012-01-04 21:49:06,0.0
67eb225ee171dd08421db090a6ab5c319a389357...0edcf9021ece57d68f86e67188f2cb20c5bee473,1,2,2.0,2,2.0,13,7,20,20.0,13,7,20,20.0,7,7.0,7,7.0,1,1,2012-01-04 22:42:50,2012-01-04 22:42:50,0.0,2012-01-04 22:42:50,2012-01-04 22:42:50,0.0
0edcf9021ece57d68f86e67188f2cb20c5bee473...8e82782499996c374125ab15c7eead7632413b6e,1,1,1.0,1,1.0,1,1,2,2.0,1,1,2,2.0,1,1.0,1,1.0,1,1,2012-01-04 22:53:12,2012-01-04 22:53:12,0.0,2012-01-04 22:53:12,2012-01-04 22:53:12,0.0
8e82782499996c374125ab15c7eead7632413b6e...b83b7e6432b1f70e5f285be68a14b466d4f4e22d,6,3,0.5,3,0.5,17,5,22,3.66666666667,20,8,28,4.66666666667,6,1.0,10,1.66666666667,1,1,2012-01-08 19:57:37,2012-01-08 20:30:08,0.541944444444,2012-01-08 19:57:37,2012-01-08 20:30:08,0.541944444444
b83b7e6432b1f70e5f285be68a14b466d4f4e22d...43b9137dfb5939c2a92bfcd7f094ea7b7c089317,1,1,1.0,1,1.0,1,0,1,1.0,1,0,1,1.0,1,1.0,1,1.0,1,1,2012-01-11 11:31:39,2012-01-11 11:31:39,0.0,2012-01-11 11:31:39,2012-01-11 11:31:39,0.0
ba1bba11d6ee40854ddddf13c63f58e93a6597dc...bf8a540e757b7f9d0c839e6d9315964c20fc449f,1,1,1.0,1,1.0,2,2,4,4.0,2,2,4,4.0,1,1.0,1,1.0,1,1,2012-01-12 16:20:25,2012-01-12 16:20:25,0.0,2012-01-12 16:20:25,2012-01-12 16:20:25,0.0
ba1bba11d6ee40854ddddf13c63f58e93a6597dc...a654a873ea56aa83a327048f3223eaa807631652,1,1,1.0,1,1.0,2,0,2,2.0,2,0,2,2.0,1,1.0,1,1.0,1,1,2012-01-12 11:22:18,2012-01-12 11:22:18,0.0,2012-01-12 11:22:18,2012-01-12 11:22:18,0.0
ba1bba11d6ee40854ddddf13c63f58e93a6597dc...11e5ddc77a7927305f20016cf507791050837aca,1,1,1.0,1,1.0,6,0,6,6.0,6,0,6,6.0,1,1.0,1,1.0,1,1,2012-01-12 11:08:21,2012-01-12 11:08:21,0.0,2012-01-12 11:08:21,2012-01-12 11:08:21,0.0
185ba4ea767102669a8d92be637510832c49c33c...65c456cb47fde46945e793e18c145541d624de3a,2,1,0.5,1,0.5,9,4,13,6.5,9,4,13,6.5,4,2.0,4,2.0,1,1,2012-01-12 19:45:54,2012-01-12 19:47:42,0.03,2012-01-12 19:45:54,2012-01-12 19:47:42,0.03
