id,num commits,branch files,avg branch files pc,commit files,avg commit files pc,branch locs added, branch locs removed,branch locs total,avg branch locs total pc,commit locs added, commit locs removed,commit locs total,avg commit locs total pc,branch hunks,avg branch hunks pc,commit hunks,avg commit hunks pc,num unique authors,num unique committers,commit start time,commit end time,commit time window,author start time, author end time,author time window
16ad958a11fb87a67e35659b8938eee99e211555...68108e109839a901313b9933cbb1e3202aed90cf,5,29,5.8,29,5.8,235,175,410,82.0,299,239,538,107.6,56,11.2,90,18.0,1,1,2009-09-10 18:23:03,2009-09-21 17:27:48,263.079166667,2009-09-07 00:06:08,2009-09-18 18:16:39,282.175277778
b51ff87d8e1278abfbea82d0cd4b689248edb0c2...ee7f610914012db6bc8b046f150d5f0ddea7b499,913,434,0.475355969332,441,0.483023001095,9970,1736,11706,12.8214676889,12345,4111,16456,18.0240963855,1024,1.12157721796,2271,2.4874041621,158,32,2009-09-21 18:00:13,2009-12-31 04:09:17,2410.15111111,2009-09-01 15:01:20,2009-12-31 04:09:17,2893.1325
ee7f610914012db6bc8b046f150d5f0ddea7b499...5286f9dc89b9dc747dbc752fa4ba6f6e9566e62e,312,231,0.740384615385,232,0.74358974359,4372,1114,5486,17.5833333333,4561,1303,5864,18.7948717949,467,1.49679487179,578,1.85256410256,86,5,2010-01-03 04:07:04,2010-02-07 19:11:34,855.075,2009-11-22 00:11:14,2010-02-07 19:07:32,1866.93833333
ee7f610914012db6bc8b046f150d5f0ddea7b499...884797ccbd1c460c5edef8885fdc562c45114426,1,1,1.0,1,1.0,12,0,12,12.0,12,0,12,12.0,1,1.0,1,1.0,1,1,2010-01-01 12:43:14,2010-01-01 12:43:14,0.0,2010-01-01 12:43:14,2010-01-01 12:43:14,0.0
c9128c0582b84ba7c1bb1f948322c2d17e70ca0a...c5ff69df0ae301f737a541a0716a76d51155e0d5,644,429,0.666149068323,430,0.667701863354,6660,2653,9313,14.4611801242,7440,3433,10873,16.8835403727,938,1.45652173913,1415,2.19720496894,166,8,2010-02-07 19:50:54,2010-04-17 18:04:11,1654.22138889,2009-12-15 17:20:50,2010-04-17 18:04:11,2952.7225
c5ff69df0ae301f737a541a0716a76d51155e0d5...b7ffed9d04cbe80cdeba5c97a296cccd19059850,1,1,1.0,1,1.0,5,1,6,6.0,5,1,6,6.0,2,2.0,2,2.0,1,1,2010-04-18 13:19:15,2010-04-18 13:19:15,0.0,2010-04-18 13:17:46,2010-04-18 13:17:46,0.0
c5ff69df0ae301f737a541a0716a76d51155e0d5...585ee080504f8b76e37c270f8da126e5e4e7fdb6,1,14,14.0,14,14.0,22,27,49,49.0,22,27,49,49.0,18,18.0,18,18.0,1,1,2010-04-18 01:24:02,2010-04-18 01:24:02,0.0,2010-03-07 06:27:19,2010-03-07 06:27:19,0.0
dda843f813c84a2e9bd27438ec6cabb1d214ae65...99bc0b7921a834e1db9d18493ff8d91568698bb9,5727,1965,0.343111576742,1995,0.348349921425,43592,8778,52370,9.14440370176,59637,24823,84460,14.7476863978,4163,0.726907630522,15303,2.67207962284,1355,8,2010-04-18 13:20:03,2011-09-25 05:56:23,12592.6055556,2009-11-10 19:53:27,2011-09-24 22:50:05,16394.9438889
99bc0b7921a834e1db9d18493ff8d91568698bb9...513c0f82c6867692cf28e233f73c693ec4e2f14e,5,5,1.0,5,1.0,12,12,24,4.8,12,12,24,4.8,10,2.0,10,2.0,5,1,2011-09-25 16:21:35,2011-09-25 16:34:51,0.221111111111,2011-09-25 03:28:35,2011-09-25 16:34:51,13.1044444444
99bc0b7921a834e1db9d18493ff8d91568698bb9...c82b738ff9186e0109f7c1212bd6b8ff87b98faf,1,1,1.0,1,1.0,186,4,190,190.0,186,4,190,190.0,5,5.0,5,5.0,1,1,2011-09-25 05:57:25,2011-09-25 05:57:25,0.0,2011-09-25 01:16:51,2011-09-25 01:16:51,0.0
