day,files_modified,hunks,lines_added,lines_removed,lines_modified,commits
2005-09-21,28,92,625,196,821,22
2005-09-22,24,34,27,662,689,5
2005-09-23,33,100,309,106,415,24
2005-09-24,31,100,208,142,350,16
2005-09-25,34,160,464,397,861,13
2005-09-26,2,6,22,5,27,2
2005-09-27,39,119,313,112,425,21
2005-09-28,28,91,265,90,355,13
2005-09-29,27,121,316,162,478,10
2005-09-30,17,45,78,76,154,11
2005-10-01,7,9,16,5,21,3
2005-10-02,53,205,1165,398,1563,24
2005-10-03,146,507,1791,684,2475,13
2005-10-04,13,30,92,77,169,9
2005-10-05,95,237,722,387,1109,18
2005-10-06,16,76,319,177,496,9
2005-10-07,16,58,695,78,773,7
2005-10-08,28,88,599,163,762,9
2005-10-09,4,12,26,12,38,4
2005-10-10,166,309,1196,350,1546,38
2005-10-11,28,203,859,347,1206,17
2005-10-12,20,48,240,96,336,9
2005-10-13,24,94,927,49,976,14
2005-10-14,1,8,57,31,88,1
2005-10-15,49,161,710,91,801,15
2005-10-16,42,123,1275,239,1514,20
2005-10-17,5,9,65,10,75,3
2005-10-18,46,206,900,285,1185,28
2005-10-19,23,130,482,147,629,20
2005-10-20,7,18,51,20,71,4
2005-10-21,28,80,263,118,381,14
2005-10-22,6,35,74,34,108,6
2005-10-23,13,45,449,243,692,8
2005-10-24,15,47,457,72,529,9
2005-10-25,3,30,65,163,228,1
2005-10-26,27,75,557,61,618,18
2005-10-27,5,20,64,22,86,4
2005-10-28,17,25,58,19,77,8
2005-10-29,29,119,537,162,699,22
2005-10-31,212,1008,7132,1692,8824,11
2005-11-01,14,58,75,128,203,8
2005-11-02,24,83,111,148,259,8
2005-11-03,52,91,371,66,437,14
2005-11-04,7,22,114,25,139,4
2005-11-05,31,103,427,153,580,10
2005-11-06,34,139,3610,169,3779,17
2005-11-07,62,153,2555,201,2756,15
2005-11-08,72,315,1005,309,1314,29
2005-11-09,8,34,46,35,81,7
2005-11-10,28,141,365,153,518,8
2005-11-11,44,166,586,165,751,20
2005-11-12,91,335,2599,913,3512,21
2005-11-13,14,39,213,148,361,7
2005-11-14,24,194,338,338,676,16
2005-11-15,75,208,684,511,1195,17
2005-11-16,21,59,431,189,620,15
2005-11-17,69,251,1479,500,1979,14
2005-11-18,30,141,463,242,705,21
2005-11-19,20,236,501,429,930,10
2005-11-20,51,353,2091,1573,3664,31
2005-11-21,29,118,334,178,512,18
2005-11-22,20,47,103,50,153,11
2005-11-23,7,35,52,46,98,7
2005-11-24,24,200,732,700,1432,15
2005-11-25,35,47,85,53,138,9
2005-11-26,81,484,2464,1638,4102,5
2005-11-27,15,92,182,123,305,11
2005-11-28,13,67,121,76,197,10
2005-11-29,76,223,594,443,1037,41
2005-11-30,63,162,407,345,752,9
2005-12-01,8,56,207,88,295,8
2005-12-02,10,15,86,16,102,10
2005-12-03,4,4,119,1,120,4
2005-12-04,100,427,1496,685,2181,7
2005-12-05,35,153,517,559,1076,21
2005-12-06,14,77,178,90,268,9
2005-12-07,24,126,1058,244,1302,17
2005-12-08,35,141,237,162,399,25
2005-12-09,5,10,45,22,67,4
2005-12-10,5,8,103,10,113,3
2005-12-11,20,154,684,231,915,16
2005-12-12,94,553,2289,1082,3371,4
2005-12-13,23,64,472,147,619,10
2005-12-14,74,199,499,381,880,25
2005-12-15,67,173,970,278,1248,9
2005-12-16,7,24,34,35,69,7
2005-12-17,12,18,73,16,89,5
2005-12-18,16,38,221,254,475,9
2005-12-19,5,8,28,8,36,4
2005-12-20,40,96,310,316,626,13
2005-12-21,87,213,742,572,1314,13
2005-12-22,23,70,198,126,324,13
2005-12-23,31,83,259,89,348,13
2005-12-24,22,59,225,36,261,6
2005-12-26,4,13,29,6,35,2
2005-12-27,35,66,337,45,382,9
2005-12-28,26,101,404,75,479,11
2005-12-29,25,30,33,27,60,3
2006-01-06,165,254,492,244,736,28
2006-01-07,29,38,23,325,348,5
2006-01-08,90,142,334,743,1077,17
2006-01-09,2,18,33,17,50,2
2006-01-10,4,9,44,4,48,3
2006-01-11,13,29,81,27,108,11
2006-01-13,5,9,41,12,53,5
2006-01-14,44,116,449,132,581,9
2006-01-15,22,150,522,321,843,7
2006-01-16,26,53,186,61,247,11
2006-01-17,2,4,5,4,9,2
2006-01-20,13,28,18,64,82,8
2006-01-21,2,3,6,13,19,2
2006-01-22,13,32,100,25,125,9
2006-01-23,6,113,1757,1441,3198,3
2006-01-25,33,90,250,65,315,16
2006-01-26,5,23,27,38,65,1
2006-01-27,11,19,27,34,61,9
2006-01-28,59,247,1897,325,2222,23
2006-01-29,4,9,19,6,25,3
2006-01-30,14,44,114,45,159,6
2006-01-31,8,59,331,499,830,5
2006-02-01,14,53,119,50,169,8
2006-02-02,11,30,137,77,214,10
2006-02-03,9,66,148,74,222,9
2006-02-04,6,19,24,45,69,4
2006-02-05,4,11,25,37,62,4
2006-02-06,41,199,545,682,1227,23
2006-02-07,38,191,1118,741,1859,17
2006-02-09,49,143,449,132,581,16
2006-02-10,45,178,725,434,1159,16
2006-02-11,14,60,181,88,269,5
2006-02-12,69,184,790,149,939,29
2006-02-13,17,49,355,45,400,10
2006-02-14,16,42,85,31,116,10
2006-02-15,27,115,435,85,520,13
2006-02-16,33,92,1524,79,1603,13
2006-02-17,25,133,3298,100,3398,10
2006-02-18,45,128,1391,111,1502,23
2006-02-19,52,197,1954,853,2807,14
2006-02-20,60,284,3556,1906,5462,32
2006-02-21,32,59,1295,47,1342,10
2006-02-22,104,480,5965,790,6755,40
2006-02-23,54,211,3281,251,3532,21
2006-02-24,38,178,598,215,813,22
2006-02-25,29,227,830,253,1083,11
2006-02-26,43,268,1504,859,2363,12
2006-02-27,50,266,857,354,1211,29
2006-02-28,28,236,808,594,1402,21
2006-03-01,74,243,1253,2666,3919,31
2006-03-02,154,903,6880,2748,9628,40
2006-03-03,65,338,1101,469,1570,37
2006-03-04,70,286,3640,3815,7455,30
2006-03-05,58,216,1032,192,1224,17
2006-03-06,49,102,527,251,778,16
2006-03-07,13,69,443,56,499,7
2006-03-08,12,214,1284,642,1926,4
2006-03-09,150,259,587,301,888,14
2006-03-10,5,6,12,4,16,4
2006-03-11,44,461,4365,643,5008,18
2006-03-12,19,48,306,55,361,8
2006-03-13,23,256,1051,395,1446,12
2006-03-15,6,34,60,52,112,6
2006-03-16,4,12,8,16,24,3
2006-03-17,16,58,204,41,245,10
2006-03-18,28,79,220,67,287,20
2006-03-19,4,14,38,26,64,4
2006-03-20,17,122,650,150,800,11
2006-03-21,24,98,406,93,499,12
2006-03-22,13,28,61,23,84,9
2006-03-24,30,37,66,12,78,7
2006-03-25,5,11,37,16,53,3
2006-03-26,87,649,5979,2779,8758,25
2006-03-27,15,44,90,34,124,7
2006-03-28,11,15,58,10,68,5
2006-03-29,4,13,52,8,60,2
2006-03-30,25,62,246,191,437,12
2006-03-31,2,30,92,47,139,2
2006-04-01,6,21,30,37,67,3
2006-04-02,16,132,218,154,372,13
2006-04-03,6,50,132,130,262,4
2006-04-04,137,560,1296,721,2017,24
2006-04-05,57,368,1835,639,2474,29
2006-04-06,8,64,212,48,260,8
2006-04-07,35,143,1644,213,1857,16
2006-04-08,15,119,878,309,1187,8
2006-04-09,19,88,525,410,935,9
2006-04-10,24,73,108,208,316,5
2006-04-11,50,245,523,298,821,19
2006-04-12,13,43,55,96,151,6
2006-04-13,27,84,616,52,668,10
2006-04-14,12,31,51,57,108,10
2006-04-15,77,376,2325,1119,3444,23
2006-04-16,58,276,839,535,1374,21
2006-04-17,46,160,350,263,613,19
2006-04-18,69,346,1070,687,1757,21
2006-04-19,42,78,3776,3279,7055,19
2006-04-20,19,49,396,294,690,11
2006-04-21,45,112,2684,2466,5150,12
2006-04-22,37,208,4322,3933,8255,13
2006-04-23,6,39,70,82,152,5
2006-04-24,27,106,1469,286,1755,15
2006-04-25,56,302,1266,509,1775,16
2006-04-26,58,472,5129,4160,9289,19
2006-04-27,72,240,849,736,1585,28
2006-04-28,40,187,543,171,714,14
2006-04-29,32,154,1179,167,1346,6
2006-04-30,54,295,3020,2099,5119,11
2006-05-01,24,126,1364,198,1562,14
2006-05-02,65,417,1450,822,2272,41
2006-05-03,54,594,3110,866,3976,24
2006-05-04,70,283,1888,732,2620,25
2006-05-05,97,255,1361,288,1649,23
2006-05-06,110,726,5927,2837,8764,12
2006-05-07,105,546,3379,944,4323,22
2006-05-08,60,172,409,252,661,14
2006-05-09,34,287,1467,357,1824,13
2006-05-10,15,35,78,29,107,9
2006-05-13,12,34,169,40,209,5
2006-05-14,50,144,529,196,725,18
2006-05-15,51,147,713,141,854,29
2006-05-16,41,137,1287,226,1513,19
2006-05-17,59,287,1644,1035,2679,26
2006-05-18,45,82,867,738,1605,19
2006-05-19,83,278,2088,1052,3140,31
2006-05-20,73,251,3371,1884,5255,14
2006-05-21,132,548,4466,2003,6469,13
2006-05-22,30,105,1293,166,1459,16
2006-05-23,145,430,11287,10587,21874,43
2006-05-24,243,753,22286,19084,41370,21
2006-05-25,16,53,229,49,278,10
2006-05-26,33,190,405,501,906,20
2006-05-28,25,127,277,119,396,15
2006-05-29,294,1639,16161,9041,25202,13
2006-05-30,76,345,844,520,1364,33
2006-05-31,41,177,411,297,708,14
2006-06-01,6,117,145,107,252,5
2006-06-02,13,47,113,26,139,8
2006-06-03,10,131,436,183,619,4
2006-06-04,124,479,2941,1664,4605,14
2006-06-05,5,8,30,3,33,5
2006-06-06,81,285,1773,547,2320,24
2006-06-07,32,203,1233,421,1654,14
2006-06-08,29,63,200,40,240,7
2006-06-09,10,21,38,15,53,4
2006-06-10,46,61,4868,136,5004,9
2006-06-11,1,1,16,0,16,1
2006-06-13,1,1,16,0,16,1
2006-06-16,33,315,2170,435,2605,25
2006-06-17,60,264,2842,293,3135,16
2006-06-18,142,667,3718,759,4477,20
2006-06-19,89,188,4307,3763,8070,27
2006-06-20,107,387,1184,528,1712,25
2006-06-21,80,251,1374,663,2037,24
2006-06-22,104,400,3310,2409,5719,23
2006-06-23,2,4,5,1,6,2
2006-06-24,34,103,548,213,761,14
2006-06-25,26,77,261,101,362,11
2006-06-26,125,261,3051,274,3325,18
2006-06-27,130,178,4771,57,4828,11
2006-06-28,39,155,611,189,800,18
2006-06-29,51,98,2620,277,2897,18
2006-06-30,13,21,44,31,75,5
2006-07-01,3,14,40,21,61,3
2006-07-02,41,142,802,198,1000,23
2006-07-03,92,303,2479,935,3414,43
2006-07-04,32,92,769,310,1079,17
2006-07-05,139,328,5738,620,6358,12
2006-07-06,4,23,48,14,62,4
2006-07-07,54,106,4690,4152,8842,20
2006-07-08,26,29,50,30,80,8
2006-07-09,72,221,848,473,1321,29
2006-07-10,92,188,4486,4131,8617,15
2006-07-11,22,50,88,35,123,14
2006-07-13,46,160,873,377,1250,11
2006-07-14,141,409,2308,489,2797,30
2006-07-15,10,32,77,16,93,6
2006-07-16,2,4,5,5,10,2
2006-07-17,15,49,186,38,224,10
2006-07-24,22,58,182,47,229,16
2006-07-25,38,129,634,149,783,24
2006-07-26,27,79,527,349,876,14
2006-07-27,5,6,13,5,18,2
2006-07-28,50,456,1021,967,1988,25
2006-07-29,110,353,703,472,1175,5
2006-07-30,59,160,860,455,1315,6
2006-07-31,151,919,4791,3786,8577,37
2006-08-01,29,87,2758,2503,5261,17
2006-08-02,33,83,370,256,626,17
2006-08-03,27,48,444,254,698,18
2006-08-04,59,118,2621,2541,5162,21
2006-08-05,7,10,16,43,59,5
2006-08-06,19,121,405,163,568,18
2006-08-07,5,34,166,28,194,5
2006-08-08,371,1357,14887,6560,21447,13
2006-08-09,21,76,289,165,454,17
2006-08-10,51,125,682,188,870,19
2006-08-11,11,20,19,49,68,4
2006-08-12,6,31,90,30,120,4
2006-08-13,160,573,8058,6726,14784,24
2006-08-14,5,116,203,154,357,5
2006-08-15,133,534,7696,6580,14276,35
2006-08-16,67,221,768,463,1231,16
2006-08-17,51,173,494,222,716,17
2006-08-18,5,29,137,49,186,3
2006-08-20,1,15,77,19,96,1
2006-08-21,9,81,215,182,397,7
2006-08-22,21,122,349,188,537,14
2006-08-23,159,634,6674,5923,12597,7
2006-08-24,13,25,28,32,60,8
2006-08-26,145,558,1325,754,2079,35
2006-08-27,37,89,515,206,721,18
2006-08-28,51,375,2836,663,3499,21
2006-08-29,6,7,19,9,28,5
2006-08-30,1,9,46,37,83,1
2006-08-31,28,66,374,158,532,11
2006-09-01,8,99,706,182,888,7
2006-09-02,44,87,275,136,411,2
2006-09-03,59,270,1056,453,1509,8
2006-09-04,12,48,140,75,215,6
2006-09-05,9,17,127,19,146,6
2006-09-06,7,23,112,72,184,5
2006-09-07,31,108,539,293,832,14
2006-09-08,14,21,484,215,699,2
2006-09-09,24,28,501,4,505,5
2006-09-10,22,62,225,108,333,9
2006-09-11,15,48,342,114,456,6
2006-09-13,28,82,316,132,448,15
2006-09-14,16,27,59,28,87,8
2006-09-15,4,8,55,31,86,4
2006-09-16,25,77,1220,80,1300,12
2006-09-17,34,119,1054,259,1313,14
2006-09-18,54,179,1312,563,1875,17
2006-09-20,43,155,1010,642,1652,25
2006-09-21,192,838,5080,1818,6898,13
2006-09-22,14,33,71,32,103,14
2006-09-23,23,113,425,699,1124,9
2006-09-24,18,70,504,88,592,10
2006-09-25,44,164,1956,1868,3824,12
2006-09-26,7,14,53,17,70,4
2006-09-27,70,297,2082,400,2482,32
2006-09-28,118,566,5495,3529,9024,23
2006-09-29,24,58,150,56,206,18
2006-09-30,14,39,219,88,307,11
2006-10-01,52,375,2804,514,3318,15
2006-10-02,47,251,2513,308,2821,8
2006-10-03,10,26,131,36,167,9
2006-10-04,11,33,87,127,214,9
2006-10-05,17,65,150,81,231,15
2006-10-06,23,126,500,197,697,10
2006-10-07,4,3,8,3,11,4
2006-10-08,15,48,146,56,202,10
2006-10-09,2,22,46,252,298,2
2006-10-10,11,23,82,578,660,5
2006-10-11,15,62,170,51,221,12
2006-10-12,19,38,238,604,842,8
2006-10-13,1,6,6,6,12,1
2006-10-14,16,36,92,61,153,6
2006-10-15,11,31,83,260,343,9
2006-10-16,3,5,13,4,17,2
2006-10-17,4,7,10,5,15,4
2006-10-18,2,6,16,4,20,2
2006-10-19,32,136,418,118,536,18
2006-10-20,22,98,1613,149,1762,10
2006-10-21,8,83,236,103,339,8
2006-10-22,8,13,20,10,30,6
2006-10-23,31,187,644,302,946,12
2006-10-24,112,577,2069,1164,3233,15
2006-10-25,44,214,1820,886,2706,17
2006-10-26,20,135,536,157,693,12
2006-10-27,31,71,203,283,486,15
2006-10-28,14,62,296,78,374,11
2006-10-29,19,150,775,436,1211,10
2006-10-30,6,14,24,7,31,5
2006-10-31,28,72,145,92,237,15
2006-11-01,64,261,1484,564,2048,11
2006-11-02,1,5,10,4,14,1
2006-11-03,119,503,2607,1163,3770,19
2006-11-04,12,28,78,9,87,10
2006-11-05,31,164,518,353,871,22
2006-11-06,7,54,280,68,348,7
2006-11-07,44,364,1934,666,2600,24
2006-11-08,40,199,2504,301,2805,25
2006-11-09,31,92,2065,2846,4911,16
2006-11-10,2,3,3,2,5,2
2006-11-11,2,2,2,2,4,2
2006-11-12,33,369,991,500,1491,33
2006-11-13,39,242,806,238,1044,28
2006-11-14,3,50,65,56,121,3
2006-11-15,10,74,197,102,299,10
2006-11-17,4,7,40,3,43,3
2006-11-18,26,100,405,96,501,22
2006-11-19,17,96,363,134,497,17
2006-11-20,17,46,473,273,746,7
2006-11-21,25,168,610,205,815,24
2006-11-22,30,123,274,2159,2433,12
2006-11-23,15,35,131,51,182,9
2006-11-24,61,287,1538,256,1794,39
2006-11-25,43,314,1150,327,1477,23
2006-11-26,8,44,124,46,170,8
2006-11-27,51,181,1127,2402,3529,24
2006-11-28,13,47,261,65,326,10
2006-11-29,16,70,226,93,319,12
2006-11-30,1,2,4,2,6,1
2006-12-02,4,8,18,20,38,3
2006-12-03,12,34,480,83,563,8
2006-12-04,14,30,108,23,131,9
2006-12-05,11,33,99,55,154,5
2006-12-06,37,90,567,81,648,18
2006-12-07,4,13,89,200,289,4
2006-12-08,6,12,54,19,73,5
2006-12-09,10,25,143,35,178,6
2006-12-10,2,14,136,76,212,2
2006-12-11,11,35,145,154,299,8
2006-12-12,7,25,208,25,233,7
2006-12-13,124,414,2632,977,3609,37
2006-12-14,12,36,185,56,241,9
2006-12-16,67,298,777,1183,1960,27
2006-12-17,21,41,124,26,150,11
2006-12-18,23,86,444,85,529,14
2006-12-19,76,230,1442,222,1664,16
2006-12-20,111,202,349,342,691,19
2006-12-21,27,180,476,1032,1508,9
2006-12-22,41,101,705,117,822,21
2006-12-23,26,65,226,103,329,20
2006-12-24,19,39,813,48,861,6
2006-12-25,29,119,1402,205,1607,18
2006-12-26,20,91,330,144,474,14
2006-12-27,263,1422,8863,5517,14380,14
2006-12-28,60,165,775,351,1126,23
2006-12-29,90,317,1139,379,1518,40
2006-12-30,15,18,105,8,113,6
2006-12-31,56,176,640,241,881,19
2007-01-01,23,76,167,190,357,18
2007-01-02,2,3,1,2,3,2
